guid,sentence,translation,freq ranks,audio,tags
nlN20qM6fT,Hvad ved I?,What do you know?,[ 38 26 4 ], [sound:googletts-ce48c40f-a6e110d0-f73d1770-9525f1d2-8102777a.mp3],CardType::Sentence
"nj0C,>p|3I",De elsker os.,They love us.,[ 37 57 73 ], [sound:googletts-3692a022-004d480a-3472d699-0fa51bb1-cab1777c.mp3],CardType::Sentence
xP%l~x*g({,Du så ikke noget.,You didn't see anything.,[ 7 21 5 41 ], [sound:googletts-153680ce-259a0697-590ed492-47388a5f-77854811.mp3],CardType::Sentence
P}qp#!Yt.&,Vi ved ikke noget om ham.,We don't know anything about him.,[ 46 26 5 41 22 47 ], [sound:googletts-cf499fb4-95d7e3aa-a612ab77-a3ab87bd-8545d638.mp3],CardType::Sentence
wTb&ta8N!d,Jeg kunne ikke lide det.,I didn't like it.,[ 11 42 5 33 12 ], [sound:googletts-071a3672-74baf025-39350b30-1a0f45ae-3fda96c7.mp3],CardType::Sentence
y9T`~qC{8],Men kan du lide det?,But do you like it?,[ 45 13 7 33 12 ], [sound:googletts-18ebec46-3b3b1719-7521fd8d-8375a471-15fffbf2.mp3],CardType::Sentence
k_<}m(`}I;,Jeg så ham.,I saw him.,[ 11 21 47 ], [sound:googletts-0d07eb61-b56f1cb0-dd8a31d1-841db225-3b83e773.mp3],CardType::Sentence
uZ6}r*/zVb,Tom taler fransk godt.,Tom speaks French well.,[ 80 49 100 78 ], [sound:googletts-6f34b968-436677be-a5fa765c-d0458d7f-e26706e2.mp3],CardType::Sentence
K33TlOhq53,Hvad er det?,What is it?,[ 38 1 12 ], [sound:googletts-f67fe289-1c48c9f9-2c700191-151214f8-82e34d80.mp3],CardType::Sentence
n6qKk4TpNG,Hun elsker Tom.,She loves Tom.,[ 39 57 80 ], [sound:googletts-24f96484-6d7bc4d6-2ecece39-46109111-46b9e549.mp3],CardType::Sentence
j*@x*Ah/w2,Jeg vil tale om dig.,I'll talk about you.,[ 11 20 64 22 31 ], [sound:googletts-8f2ec765-4014671e-70c43471-3d392592-3698c497.mp3],CardType::Sentence
clapo?}kS4,Næsten tre.,Almost three.,[ 133 103 ], [sound:googletts-d3cc70f1-a8f04490-2b7688cd-20efa053-8b6ad585.mp3],CardType::Sentence
l#%8^ksRvp,Du taler for meget.,You talk too much.,[ 7 49 10 29 ], [sound:googletts-e34d41ba-e2bf7c77-4f03bbf9-ddcaa462-f95ead2f.mp3],CardType::Sentence
l=$IFI$YTz,De bor der.,They live there.,[ 37 67 28 ], [sound:googletts-7d0fcca5-2f23c88e-cd4298b7-bba1b23f-f5b82669.mp3],CardType::Sentence
"CN:.o|Ez^,",Hvorfor ville Tom lære fransk?,Why did Tom want to learn French?,[ 93 65 80 121 100 ], [sound:googletts-29e82f73-348c36e0-51337e27-8b9b493f-793df400.mp3],CardType::Sentence
w6>+Gmq<i~,Jeg kan ikke se dig.,I can't see you.,[ 11 13 5 54 31 ], [sound:googletts-f383534f-317d8465-71711b59-3105ab6f-3927754a.mp3],CardType::Sentence
LW{JG(iP@k,Bor han her?,Does he live here?,[ 67 23 50 ], [sound:googletts-dc1cd498-12e97c5d-c5238847-eb37a851-5eec0a8b.mp3],CardType::Sentence
qP<@kie!*6,Jeg elsker dig.,I love you.,[ 11 57 31 ], [sound:googletts-5f4d2a92-db900138-2c6f4bfe-12d6b87a-f66f3d6a.mp3],CardType::Sentence
cj=o.::~Mv,Jeg elsker dig!,I love you!,[ 11 57 31 ], [sound:googletts-7a6817f8-8e20d60a-38cd63a7-17f92d30-9bb48ec6.mp3],CardType::Sentence
K#8@m1<:`6,Jeg elsker dig som du er.,I love the way you are.,[ 11 57 31 27 7 1 ], [sound:googletts-80b1c0a6-54f093e3-75f28a3c-42d98256-0b717bb1.mp3],CardType::Sentence
L1#f3oJ+jF,"Er der noget du ønsker, som du ikke har?",Is there anything you want that you don't have?,[ 1 28 41 7 56 27 7 5 6 ], [sound:googletts-f0f1a42c-76601f80-a0ace724-631d311c-6f3e69bd.mp3],CardType::Sentence
"ORPeguL@,|","Det er dig hun elsker, ikke mig.","It's you that she loves, not me.",[ 12 1 31 39 57 5 19 ], [sound:googletts-21d83a6d-dda6eaf4-374946b4-b3a982bb-1f4bc78c.mp3],CardType::Sentence
fO~bkrjV4G,Tom taler altid fransk.,Tom always speaks in French.,[ 80 49 94 100 ], [sound:googletts-e919d552-3f5d59e2-abb050a0-0c4f72b5-1438a699.mp3],CardType::Sentence
hP;mK@PiBe,Jeg kan ikke se!,I can't see!,[ 11 13 5 54 ], [sound:googletts-11fec7b4-54598c47-bf7755fc-3dbfdb10-bb62065b.mp3],CardType::Sentence
"phCDi#h,:[",Jeg tror at han ved det.,I believe that he knows it.,[ 11 74 3 23 26 12 ], [sound:googletts-0c5a9bac-369dd02b-0a96b101-77982213-e7081734.mp3],CardType::Sentence
t{RHFK[Kpt,Hun kan tale.,She can speak.,[ 39 13 64 ], [sound:googletts-aea69e66-26bda80a-3e940fce-a842f57c-183626bf.mp3],CardType::Sentence
mX](.WwJsY,Kan du lide denne have?,Do you like this garden?,[ 13 7 33 52 53 ], [sound:googletts-47dabdbc-2cce4d64-fcba902c-2686ba5f-b92848f5.mp3],CardType::Sentence
G&FB=@pXSt,Det kommer ikke dig ved.,It's none of your business.,[ 12 71 5 31 26 ], [sound:googletts-b0310721-2131f07e-4ee01e3f-de7f259d-f475c505.mp3],CardType::Sentence
p@3Y}DU$RV,Kan I lide denne have?,Do you like this garden?,[ 13 4 33 52 53 ], [sound:googletts-378c9685-05ea76c6-355cc849-de8a342f-37c17c45.mp3],CardType::Sentence
q{qJuh~OHh,Jeg ved hvad Tom taler om.,I know what Tom is talking about.,[ 11 26 38 80 49 22 ], [sound:googletts-9cfee504-d04d89ba-03df09c5-5856159e-57dcaf36.mp3],CardType::Sentence
ggU]o)pK.),Tom taler fransk.,Tom speaks French.,[ 80 49 100 ], [sound:googletts-31a953bb-f818a606-d9e68c4c-b69a4d8b-205f12c7.mp3],CardType::Sentence
iMNzjTP`Yn,"Det er hans, er det ikke?","It's his, isn't it?",[ 12 1 72 1 12 5 ], [sound:googletts-32eb1139-a5fe4c12-78ad8ed8-6d30ea96-ceacc144.mp3],CardType::Sentence
LiA[u$1n`:,Vi taler alle fransk.,We all speak French.,[ 46 49 70 100 ], [sound:googletts-276c1a79-2bf107c3-ef087a51-f613738d-2fbb85ef.mp3],CardType::Sentence
et@rywi*xr,Hvad tog tager du?,What train are you taking?,[ 38 55 66 7 ], [sound:googletts-425f2a17-145edb97-18c21fa1-0d221a92-5cb6968e.mp3],CardType::Sentence
nkt=K-GtN|,Alle skulle lære fransk.,Everyone had to learn French.,[ 70 125 121 100 ], [sound:googletts-7ed08758-ecded7fa-7e5908f2-5384bddd-064ed5fb.mp3],CardType::Sentence
Lsk=[]<KjB,"Er det det du vil, Tom?","Is that what you want, Tom?",[ 1 12 12 7 20 80 ], [sound:googletts-8b19d48a-9c6f1b97-41ebbd2a-62b3802a-1e638087.mp3],CardType::Sentence
k2Vrlari|=,Tom spiser.,Tom's eating.,[ 80 119 ], [sound:googletts-c0159d58-8f3c3901-e82e466f-e5c79738-325c5a8a.mp3],CardType::Sentence
"d.|%S)s@{,",Elsker du mig?,Do you love me?,[ 57 7 19 ], [sound:googletts-fa2493ec-17e542ca-c42eac12-49c4b268-8dc3bccd.mp3],CardType::Sentence
ABz/UCXbdQ,Jeg er her.,I'm here.,[ 11 1 50 ], [sound:googletts-5faf2fd7-4661e2bc-ea85c5cb-0d3aec41-798e40b1.mp3],CardType::Sentence
nV<*UtQHy%,Jeg er her!,I'm here.,[ 11 1 50 ], [sound:googletts-4eed19e6-c36a784f-10f8523e-e6c7a93b-a4d06c0a.mp3],CardType::Sentence
wz~dODUP/h,Jeg elsker at tale med dig.,I love talking to you.,[ 11 57 3 64 17 31 ], [sound:googletts-e4ce954a-f5ed0efb-14840999-edfa0e63-d24984cc.mp3],CardType::Sentence
xT+8h?-wB`,Jeg tager ham.,I'll take him.,[ 11 66 47 ], [sound:googletts-fc5d5196-b0215022-097a2b0f-dcb012a6-72e861d8.mp3],CardType::Sentence
x4R/bzhrv},"Det er min, ikke hans.","It's mine, not his.",[ 12 1 25 5 72 ], [sound:googletts-ea943b44-ca8a3845-6946555f-82f478cd-05aa62a0.mp3],CardType::Sentence
oM2ef@Zt:3,Han kan tale.,He can speak.,[ 23 13 64 ], [sound:googletts-ac961d42-c0551d32-73e215c5-af741d8a-6a04028d.mp3],CardType::Sentence
c<(=]M*:de,Jeg ved at du bor her.,I know that you live here.,[ 11 26 3 7 67 50 ], [sound:googletts-72c66568-5eb32749-289ee13f-a59d3761-19bec5fc.mp3],CardType::Sentence
M*V4t%VQSH,Hvor stor?,How big?,[ 93 135 ], [sound:googletts-8b9b56e2-6962dfe2-16a319df-c8511d90-cd0907f4.mp3],CardType::Sentence
patXn{6X47,Jeg bor her.,I live here.,[ 11 67 50 ], [sound:googletts-6d81be15-f269b5d8-7401325b-32c42cc1-42469358.mp3],CardType::Sentence
"N,UvqPVT@5",Du ser godt ud!,You're looking good!,[ 7 59 78 58 ], [sound:googletts-a8c9259f-8e0590be-a36dcebe-f7bb9af5-c0e2d7e2.mp3],CardType::Sentence
r?5q)TFr|j,Sagde han noget om det til dig?,Did he say anything about it to you?,[ 104 23 41 22 12 8 31 ], [sound:googletts-7954db3d-db2e1985-36f2b624-dd72697a-df0d1b44.mp3],CardType::Sentence
Ht4cl~IMBX,Jeg ønsker at se ham.,I want to see him.,[ 11 56 3 54 47 ], [sound:googletts-831846f0-cd21139c-a327d36e-cffd8feb-80004422.mp3],CardType::Sentence
"qwc5GLa,KX",Jeg ved ikke om han kommer eller ikke.,I don't know whether he comes or not.,[ 11 26 5 22 23 71 76 5 ], [sound:googletts-9c9210aa-0f6c62ec-216a333f-3ed4d713-2fcb7ab9.mp3],CardType::Sentence
N[eq4P|h9k,Jeg elsker Mary så meget.,I love Mary so much.,[ 11 57 75 21 29 ], [sound:googletts-65e70ffc-e7733436-77308b6f-19afebae-4a25e916.mp3],CardType::Sentence
F;T6Z0$XkO,Ikke tale om!,No way!,[ 5 64 22 ], [sound:googletts-8b490d33-a4b7e5c8-de9144f0-46a88a16-fad28034.mp3],CardType::Sentence
"I9pPqK,VZE",Hvad vil Tom?,What does Tom want?,[ 38 20 80 ], [sound:googletts-e9a94a37-1649fa86-b66a0dc7-04c09424-0f43ba35.mp3],CardType::Sentence
n<5|p`C$RF,"Hun elsker Tom, ikke mig.","She loves Tom, not me.",[ 39 57 80 5 19 ], [sound:googletts-ec51bb3b-2fa25ec7-4adfa1c7-7700f955-4b1fcb1c.mp3],CardType::Sentence
"ki<g,;lD|c",Bor du her?,Do you live here?,[ 67 7 50 ], [sound:googletts-56b353cc-035d8fc9-3f884ae5-2bf7af20-edc26d84.mp3],CardType::Sentence
I>?*$~6e~;,Kom her!,Come here!,[ 96 50 ], [sound:googletts-930a6755-0aa55de7-e4598435-df066980-563cd430.mp3],CardType::Sentence
"N>^HWG]t,/",Jeg elsker hende og hun elsker mig.,I love her and she loves me.,[ 11 57 91 16 39 57 19 ], [sound:googletts-39896862-af8d5643-3a610a2b-fcaa808f-f62395f3.mp3],CardType::Sentence
Q8Q>bryuLi,Jeg tror Tom taler fransk godt.,I think Tom speaks French well.,[ 11 74 80 49 100 78 ], [sound:googletts-cccc4aca-b4884523-db5cb845-845496b5-47c5eaca.mp3],CardType::Sentence
O=+=me$33z,Tom ønsker at tale med os alle.,Tom wants to talk to all of us.,[ 80 56 3 64 17 73 70 ], [sound:googletts-01e6b262-75902c5d-edaab052-9d2e7619-8a0f1928.mp3],CardType::Sentence
k{@0ouzq3c,Det er meget godt.,That's very good.,[ 12 1 29 78 ], [sound:googletts-8a0a9389-cf32c12d-6f16add2-8b5653fb-f9007100.mp3],CardType::Sentence
B*y$I6oTE3,Jeg elsker dig mere end han elsker dig.,I love you more than he loves you.,[ 11 57 31 120 34 23 57 31 ], [sound:googletts-d05b89f5-cce4b203-7e40cb36-d7576b87-8d389bb4.mp3],CardType::Sentence
wEe0|UUkM~,Har hun det godt?,Is she all right?,[ 6 39 12 78 ], [sound:googletts-4e272144-3e7e83a8-2f9304f6-a599f441-6e22accf.mp3],CardType::Sentence
O/*%AuI1D(,Jeg ved hvor han er.,I know where he is.,[ 11 26 93 23 1 ], [sound:googletts-7c22968a-eff0d04f-ad01e447-6f898ce6-a37880ca.mp3],CardType::Sentence
GHZXLaS2OJ,Taler hun fransk?,Does she speak French?,[ 49 39 100 ], [sound:googletts-ee1af207-da7cb196-af01f007-6962ff56-2af103c6.mp3],CardType::Sentence
"G__).3::},",Så er det godt!,"Give me a break, please.",[ 21 1 12 78 ], [sound:googletts-bcc60611-a57f3954-a79c7cdf-4e5a9329-7bb24b7d.mp3],CardType::Sentence
lj}NR#yC~b,"Du kan noget fransk, kan du ikke?","You know some French, don't you?",[ 7 13 41 100 13 7 5 ], [sound:googletts-0e853ea3-bf072d6c-4c6efc17-cac69c5f-a1e8105c.mp3],CardType::Sentence
p;C?`U%<b],Ingen gjorde noget.,Nobody did anything.,[ 83 112 41 ], [sound:googletts-cbfea1a2-11369b38-39c153b2-84630c8b-58bc16dc.mp3],CardType::Sentence
Gn/Q9:H]e>,"Jeg er ikke hvad jeg gør, jeg er hvad jeg kan gøre.","I'm not what I do, I am what I can do.",[ 11 1 5 38 11 138 11 1 38 11 13 ], [sound:googletts-78d312f4-26582412-f0bb070c-ea0f9da2-8285e2d5.mp3],CardType::Sentence
"em.,)1GN:s","Det er hendes, er det ikke?","It is hers, is it not?",[ 12 1 97 1 12 5 ], [sound:googletts-da5d137e-47327d80-04c1e8d8-daf6c72b-4abc986e.mp3],CardType::Sentence
lS7$95c9l=,Hvor bor han?,Where does he live?,[ 93 67 23 ], [sound:googletts-7d6fcae3-26b18298-5d6752b2-4ff4a0dd-68bb7b79.mp3],CardType::Sentence
oWMj}me~xA,Taler de fransk?,Are they speaking French?,[ 49 37 100 ], [sound:googletts-c44edbfb-95c53fcc-44bc9ad3-ad751569-d7c24a0e.mp3],CardType::Sentence
igg8z>*7-W,Tom kan ikke gøre for at han er som han er.,Tom can't help the way he is.,[ 80 13 5 115 10 3 23 1 27 23 1 ], [sound:googletts-6011ec12-c3abc938-00175667-e07a5cb9-7a64fc2c.mp3],CardType::Sentence
kuaO=?Qu!%,Jeg ved hvor hun er.,I know where she is.,[ 11 26 93 39 1 ], [sound:googletts-3de9aaa2-5d6eb247-abb9951e-2c72b28e-1d11e2d3.mp3],CardType::Sentence
"j$oD^Zu,pc",Jeg har det godt.,I'm fine.,[ 11 6 12 78 ], [sound:googletts-6c29bbd4-e66c6376-b4a7d5ed-b9c54d00-ccc9a49c.mp3],CardType::Sentence
"FvWK,8ha!m",Tom kan tale fransk.,Tom is able to speak French.,[ 80 13 64 100 ], [sound:googletts-6fe3440e-ba08422d-fa799b94-ee6a414e-b00192d1.mp3],CardType::Sentence
i<=-&1d<>-,Jeg ved hvor det er.,I know where it is.,[ 11 26 93 12 1 ], [sound:googletts-9eba336d-089f37d9-84ec0ebd-d82ab32f-0a283111.mp3],CardType::Sentence
ga-YNo4o1E,Det er ikke som det har været.,It's not like it used to be.,[ 12 1 5 27 12 6 114 ], [sound:googletts-19cadac4-1d7283c6-fd6d321f-ae617329-20f16294.mp3],CardType::Sentence
c^ir(Ft&FS,Det ser ud som om han kender til det.,It seems that he knows about it.,[ 12 59 58 27 22 23 110 8 12 ], [sound:googletts-3ca6aa04-fcdfbd02-b8d5a439-d6794f6f-ff01dff2.mp3],CardType::Sentence
vN859K+#Jt,Det er hvad hun sagde.,That's what she said.,[ 12 1 38 39 104 ], [sound:googletts-dc3dfb58-35bab036-9d43710e-54776057-48963074.mp3],CardType::Sentence
PHa:z~{U.m,Ingen taler til mig.,Nobody speaks to me.,[ 83 49 8 19 ], [sound:googletts-b5e33f32-349bfdef-e7a9ddf7-b7f7cbac-f24ea6f6.mp3],CardType::Sentence
L|nd%`RbbE,Tom taler fransk lige så godt som Mary.,Tom speaks French as well as Mary.,[ 80 49 100 111 21 78 27 75 ], [sound:googletts-67ea70cd-1962d601-55112736-45c216dd-660a9553.mp3],CardType::Sentence
lz&cLFYAO/,Han har noget at gøre med det.,He has something to do with it.,[ 23 6 41 3 115 17 12 ], [sound:googletts-90d83480-b5db24c0-07f4df77-d2f82fc9-fcaee227.mp3],CardType::Sentence
DdSBQ(=3Kh,Jeg kan ikke lide fransk.,I don't like French.,[ 11 13 5 33 100 ], [sound:googletts-d23e424f-04d9df8f-72f00932-9a043664-1772b78b.mp3],CardType::Sentence
bw^L&!>y(U,Elsker du Tom?,Do you love Tom?,[ 57 7 80 ], [sound:googletts-2c66d878-88dc4894-4bfd0867-2351b8e7-872bb74e.mp3],CardType::Sentence
"Ez9A8,,m}8",Hvad sagde du i går?,What did you say yesterday?,[ 38 104 7 4 43 ], [sound:googletts-8576d9b1-d266f0d0-e6b22dfc-a8478a27-d8e9a100.mp3],CardType::Sentence
i18(y*7f0x,Jeg kan se Tom.,I can see Tom.,[ 11 13 54 80 ], [sound:googletts-d0457380-22ce96d5-c0f2f3a2-e5029a32-8b93bea6.mp3],CardType::Sentence
M?PT;pU<1u,"Det er min, ikke hendes.","It's mine, not hers.",[ 12 1 25 5 97 ], [sound:googletts-2dc4a671-08e56b4e-ba6187fa-fb33cc9b-eca2acc1.mp3],CardType::Sentence
kae5()Tqr],Er det fransk de taler?,Are they speaking French?,[ 1 12 100 37 49 ], [sound:googletts-00f73448-49c844b5-b15d2b59-a595190b-df2a948d.mp3],CardType::Sentence
"yXrGvou>k,",Det tror jeg.,I think so.,[ 12 74 11 ], [sound:googletts-898634a3-4aa2130c-55832843-d79b9f80-fb31c8f8.mp3],CardType::Sentence
j<nA$lb*U8,Jeg tror det.,I think so.,[ 11 74 12 ], [sound:googletts-3e300115-925d099e-2affdf09-d266fa98-efe26e5d.mp3],CardType::Sentence
PMcEz+Qe34,Hvor var du i går?,Where were you yesterday?,[ 93 18 7 4 43 ], [sound:googletts-a3f6e5e5-3d003551-e55dd5dd-d6a4e2a3-33e1e789.mp3],CardType::Sentence
"Mo+L,-x9Dr",Hvad var han i gang med da du så ham?,What was he doing when you saw him?,[ 38 18 23 4 113 17 95 7 21 47 ], [sound:googletts-29c4f2ab-3de8398c-372e93c1-9288ab13-9524e606.mp3],CardType::Sentence
DTMcv-.uB.,Hun sagde ikke noget.,She did not say anything.,[ 39 104 5 41 ], [sound:googletts-3041f170-354ea808-0f3bb17f-78a2d8ce-c3d43b07.mp3],CardType::Sentence
io[YS$:7z=,"En for alle, alle for en.","One for all, all for one.",[ 2 10 70 70 10 2 ], [sound:googletts-2734e461-9ad23207-b44e2b3d-aba8eb94-830dfa27.mp3],CardType::Sentence
k$s^1O<[NV,Elsker I Tom?,Do you love Tom?,[ 57 4 80 ], [sound:googletts-00fd932b-e101fe23-267558d8-b77681d2-46c8a038.mp3],CardType::Sentence
"iV(3Tpe,*w",Du tager med os.,You're going with us.,[ 7 66 17 73 ], [sound:googletts-cf86179f-6406fa07-aaeb53a5-dc07e9d7-6bfd93c1.mp3],CardType::Sentence
gxM~J[(yD~,Jeg ved hvor han bor.,I know where he lives.,[ 11 26 93 23 67 ], [sound:googletts-1349ea25-7118f827-de3320d1-1619cbd1-05bf1adc.mp3],CardType::Sentence
lOpI}]D{(?,Jeg ønsker at se hende.,I want to see her.,[ 11 56 3 54 91 ], [sound:googletts-6abfac3b-309102b0-37718ba3-18441f1b-1894df5d.mp3],CardType::Sentence
m<Zox/jQ+4,Vi kender ham ikke.,We don't know him.,[ 46 110 47 5 ], [sound:googletts-125633b8-b65a313a-4bb38034-832b81dc-7ea97e24.mp3],CardType::Sentence
i-4;jkVlhV,Jeg kender ikke noget til ham.,I don't know anything about him.,[ 11 110 5 41 8 47 ], [sound:googletts-71bb922d-df8eaaf8-8022c7cb-973651ac-9d416847.mp3],CardType::Sentence
kF_Q2ufZF:,Det er alt hvad jeg ved.,That's all I know.,[ 12 1 118 38 11 26 ], [sound:googletts-717ea845-e70d10b0-ccdd06f5-d4932353-ce4c9d2f.mp3],CardType::Sentence
IY^qG044&h,Jeg elsker dig mere end jeg elsker hende.,I love you more than I love her.,[ 11 57 31 120 34 11 57 91 ], [sound:googletts-2ae0501b-538c09ae-18995087-c8c9913c-3ba983d7.mp3],CardType::Sentence
pkfWUcbZ?N,Er dette godt fransk?,Is this good French?,[ 1 63 78 100 ], [sound:googletts-51d1d30e-6270d9ba-a9dff214-920804ad-99abf873.mp3],CardType::Sentence
MEBR$<#P?},Jeg så hvad du gjorde.,I saw what you did.,[ 11 21 38 7 112 ], [sound:googletts-f227dbf7-237822a1-d0a48379-e1b34797-1315f649.mp3],CardType::Sentence
Dnv(kkhAa.,Jeg kan lide at tale fransk.,I like to speak French.,[ 11 13 33 3 64 100 ], [sound:googletts-69198854-31a95bfe-4d344d79-58971082-ae58dd02.mp3],CardType::Sentence
"x!<unH,:5Q","Du kan tale fransk, kan du ikke?","You can speak French, can't you?",[ 7 13 64 100 13 7 5 ], [sound:googletts-38334008-0c2506e0-2c78509e-bf760341-33c9e925.mp3],CardType::Sentence
CVTsIyKj8k,Tom taler ikke meget fransk.,Tom doesn't speak much French.,[ 80 49 5 29 100 ], [sound:googletts-86fe1ea2-4077aebc-b853bd7e-95d993d8-2f601804.mp3],CardType::Sentence
uMZr+ffDXM,Jeg kommer.,I am coming.,[ 11 71 ], [sound:googletts-8b2ebdc0-005cebd5-41e93011-caae211a-1e9c15fc.mp3],CardType::Sentence
EA:&ovd)eh,Jeg elsker fransk.,I love French.,[ 11 57 100 ], [sound:googletts-6e829ac4-5383df80-3d5a8428-c440df44-1be1fc02.mp3],CardType::Sentence
cMs4BwXLK~,Jeg kunne ikke tale fransk.,I couldn't speak French.,[ 11 42 5 64 100 ], [sound:googletts-b73a976e-44205b77-719adb6c-6a25c70a-0586f4fc.mp3],CardType::Sentence
EILO/c1Vcr,Tom taler fransk lige så godt som dig.,Tom speaks French as well as you.,[ 80 49 100 111 21 78 27 31 ], [sound:googletts-3c047700-bdf263a0-e7e5af7f-affc7bb6-5c755236.mp3],CardType::Sentence
pxs^++9>oF,Jeg har brug for dig.,I need you.,[ 11 6 109 10 31 ], [sound:googletts-95d0f516-8b115b31-1314e1b0-3d2abe7d-49c101f2.mp3],CardType::Sentence
cb`t@*}V!d,Hvor kommer du fra?,Where do you come from?,[ 93 71 7 36 ], [sound:googletts-7c520346-b599fc47-9479655a-d5a0215b-e0805e82.mp3],CardType::Sentence
zE<m00[]S`,Hvor er du fra?,Where are you from?,[ 93 1 7 36 ], [sound:googletts-efcbda4f-b4c00deb-2a06820a-7d6eafec-10aa1a6d.mp3],CardType::Sentence
HF##^N8S-%,Han sagde ikke noget.,He didn't say anything.,[ 23 104 5 41 ], [sound:googletts-ae40e855-8d50d391-0a88b2c6-714e0c9e-1ce111a7.mp3],CardType::Sentence
AwaZhC;nL1,Jeg kan lide fransk.,I like French.,[ 11 13 33 100 ], [sound:googletts-3320c6c1-c6cf5fe1-d974d3a2-b49ac12c-79052bef.mp3],CardType::Sentence
